sku,nombre,descripcion,marca,categoria,subcategoria,precio,stock,stock_minimo,peso,dimensiones,imagen,caracteristicas,aplicaciones,accesorios,productos_relacionados
SIMATIC-S7-1200,PLC SIMATIC S7-1200,Controlador lógico programable compacto para automatización básica,Siemens,Automatización,PLC,1250.00,45,10,0.50,120 x 100 x 75 mm,https://example.com/s7-1200.jpg,"Procesador de 32 bits con memoria flash de 100 KB;Comunicación PROFINET integrada;Hasta 8 módulos de expansión;Temperatura de operación: -20°C a +60°C;Certificación UL;CE;CSA","Control de máquinas y líneas de producción;Automatización de procesos industriales;Sistemas de control de temperatura y presión;Monitoreo de equipos y alarmas;Integración con sistemas SCADA",,
SIMATIC-S7-1500,PLC SIMATIC S7-1500,Controlador lógico programable de alto rendimiento para aplicaciones complejas,Siemens,Automatización,PLC,2850.00,32,8,1.20,160 x 120 x 85 mm,https://example.com/s7-1500.jpg,"Procesador de 64 bits con memoria flash de 500 KB;Comunicación PROFINET y PROFIBUS;Hasta 32 módulos de expansión;Temperatura de operación: -25°C a +70°C;Certificación UL;CE;CSA;ATEX","Control de procesos industriales complejos;Automatización de líneas de producción;Sistemas de control distribuido;Monitoreo y control de equipos críticos;Integración con sistemas MES y ERP",,
TOUCH-PANEL-KTP,Panel Táctil KTP 900,Panel táctil de 9 pulgadas para operación HMI,Siemens,Automatización,HMI,1850.00,28,5,1.80,200 x 150 x 45 mm,https://example.com/ktp-900.jpg,"Pantalla táctil resistiva de 9 pulgadas;Resolución de 800x480 píxeles;Interfaz PROFINET y RS485;Protección IP65 para uso industrial;Sistema operativo WinCC flexible","Interfaz de operador para máquinas industriales;Visualización de datos de proceso en tiempo real;Control de parámetros de producción;Sistema de alarmas y notificaciones;Registro histórico de datos y eventos",,
SINAMICS-G120,SINAMICS G120 Inverter,Variador de frecuencia para control de motores trifásicos,Siemens,Control,Variadores,950.00,65,15,2.50,180 x 140 x 120 mm,https://example.com/g120.jpg,"Potencia de 0.75 kW a 250 kW;Control vectorial y escalar;Interfaz PROFINET y RS485;Protección IP20/IP21;Temperatura de operación: -10°C a +50°C","Control de velocidad de motores industriales;Ahorro de energía en sistemas de ventilación;Control de cintas transportadoras;Sistemas de bombeo y compresión;Automatización de procesos de fabricación",,
SIMATIC-HMI-KTP,Panel HMI KTP 1200,Panel de operador táctil de 12 pulgadas,Siemens,Automatización,HMI,2200.00,22,5,2.20,250 x 180 x 50 mm,https://example.com/ktp-1200.jpg,"Pantalla táctil capacitiva de 12 pulgadas;Resolución de 1024x768 píxeles;Interfaz PROFINET y USB;Protección IP65 para uso industrial;Sistema operativo WinCC Advanced","Interfaz de operador para sistemas complejos;Visualización de múltiples procesos;Control de parámetros avanzados;Sistema de alarmas jerárquico;Registro y análisis de tendencias",,
SIMATIC-ET200,ET 200SP Distributed I/O,Estación de E/S distribuida para sistemas modulares,Siemens,Automatización,I/O,750.00,78,20,0.80,100 x 80 x 60 mm,https://example.com/et200sp.jpg,"Hasta 64 módulos de E/S;Comunicación PROFINET y PROFIBUS;Protección IP20/IP67;Temperatura de operación: -25°C a +60°C;Configuración modular","Sistemas de E/S distribuidos;Control de procesos remotos;Monitoreo de señales analógicas y digitales;Integración con sistemas de control centralizados;Aplicaciones en entornos hostiles",,
SIMATIC-S7-300,PLC SIMATIC S7-300,Controlador lógico programable modular para aplicaciones medianas,Siemens,Automatización,PLC,1650.00,38,10,1.00,140 x 110 x 80 mm,https://example.com/s7-300.jpg,"Procesador de 32 bits con memoria flash de 256 KB;Comunicación PROFINET y PROFIBUS;Hasta 16 módulos de expansión;Temperatura de operación: -20°C a +65°C;Certificación UL;CE;CSA","Control de procesos industriales;Automatización de máquinas herramienta;Sistemas de control de calidad;Monitoreo de líneas de producción;Integración con sistemas de supervisión",,
SIMATIC-HMI-TP,Panel HMI TP 700,Panel de operador táctil de 7 pulgadas,Siemens,Automatización,HMI,1200.00,45,12,1.50,180 x 130 x 40 mm,https://example.com/tp-700.jpg,"Pantalla táctil resistiva de 7 pulgadas;Resolución de 640x480 píxeles;Interfaz PROFINET y RS485;Protección IP65 para uso industrial;Sistema operativo WinCC Basic","Interfaz de operador para máquinas simples;Visualización de datos básicos;Control de parámetros fundamentales;Sistema de alarmas básico;Registro de eventos simples",,
SIMATIC-S7-400,PLC SIMATIC S7-400,Controlador lógico programable de alta gama para aplicaciones críticas,Siemens,Automatización,PLC,4500.00,18,5,2.80,200 x 160 x 100 mm,https://example.com/s7-400.jpg,"Procesador de 64 bits con memoria flash de 1 MB;Comunicación PROFINET;PROFIBUS y Ethernet;Hasta 64 módulos de expansión;Temperatura de operación: -25°C a +70°C;Certificación UL;CE;CSA;ATEX;SIL3","Control de procesos críticos en petróleo y gas;Sistemas de seguridad funcional;Control de centrales eléctricas;Automatización de plantas químicas;Sistemas de control de tráfico ferroviario",,
SIMATIC-HMI-MP,Panel HMI MP 277,Panel de operador móvil de 10 pulgadas,Siemens,Automatización,HMI,2800.00,15,3,2.50,220 x 160 x 55 mm,https://example.com/mp-277.jpg,"Pantalla táctil capacitiva de 10 pulgadas;Resolución de 1024x600 píxeles;Interfaz PROFINET y WiFi;Protección IP65 para uso industrial;Batería recargable integrada","Panel de operador móvil para operaciones remotas;Interfaz de mantenimiento y diagnóstico;Control de parámetros en campo;Sistema de alarmas móvil;Registro de datos en tiempo real",,
